date,units_sold,promo_flag
13/02/2025,66,0
14/02/2025,67,0
15/02/2025,73,0
16/02/2025,72,0
17/02/2025,79,0
18/02/2025,89,0
19/02/2025,86,0
20/02/2025,94,1
21/02/2025,57,0
22/02/2025,67,0
23/02/2025,60,0
24/02/2025,84,0
25/02/2025,81,0
26/02/2025,111,1
27/02/2025,62,0
28/02/2025,53,0
01/03/2025,62,0
02/03/2025,67,0
03/03/2025,87,0
04/03/2025,84,0
05/03/2025,77,0
06/03/2025,62,0
07/03/2025,64,0
08/03/2025,62,0
09/03/2025,78,0
10/03/2025,89,0
11/03/2025,83,0
12/03/2025,82,0
13/03/2025,67,0
14/03/2025,60,0
15/03/2025,60,0
16/03/2025,72,0
17/03/2025,90,0
18/03/2025,100,0
19/03/2025,72,0
20/03/2025,68,0
21/03/2025,55,0
22/03/2025,96,1
23/03/2025,76,0
24/03/2025,91,0
25/03/2025,69,0
26/03/2025,73,0
27/03/2025,58,0
28/03/2025,56,0
29/03/2025,56,0
30/03/2025,69,0
31/03/2025,88,0
01/04/2025,96,0
02/04/2025,59,0
03/04/2025,61,0
04/04/2025,58,0
05/04/2025,60,0
06/04/2025,70,0
07/04/2025,75,0
08/04/2025,79,0
09/04/2025,80,0
10/04/2025,69,0
11/04/2025,56,0
12/04/2025,54,0
13/04/2025,72,0
14/04/2025,81,0
15/04/2025,87,0
16/04/2025,75,0
17/04/2025,88,1
18/04/2025,56,0
19/04/2025,51,0
20/04/2025,76,0
21/04/2025,89,0
22/04/2025,76,0
23/04/2025,77,0
24/04/2025,55,0
25/04/2025,60,0
26/04/2025,64,0
27/04/2025,69,0
28/04/2025,87,0
29/04/2025,111,1
30/04/2025,70,0
01/05/2025,57,0
02/05/2025,53,0
03/05/2025,56,0
04/05/2025,71,0
05/05/2025,77,0
06/05/2025,87,0
07/05/2025,80,0
08/05/2025,57,0
09/05/2025,45,0
10/05/2025,62,0
11/05/2025,77,0
12/05/2025,80,0
13/05/2025,106,1
14/05/2025,75,0
15/05/2025,69,0
16/05/2025,42,0
17/05/2025,60,0
18/05/2025,68,0
19/05/2025,76,0
20/05/2025,85,0
21/05/2025,65,0
22/05/2025,62,0
23/05/2025,61,0
24/05/2025,59,0
25/05/2025,64,0
26/05/2025,70,0
27/05/2025,75,0
28/05/2025,62,0
29/05/2025,70,0
30/05/2025,52,0
31/05/2025,51,0
01/06/2025,62,0
02/06/2025,106,1
03/06/2025,81,0
04/06/2025,66,0
05/06/2025,71,0
06/06/2025,49,0
07/06/2025,53,0
08/06/2025,72,0
09/06/2025,90,0
10/06/2025,91,0
11/06/2025,71,0
12/06/2025,63,0
13/06/2025,55,0
14/06/2025,62,0
15/06/2025,72,0
16/06/2025,76,0
17/06/2025,76,0
18/06/2025,76,0
19/06/2025,55,0
20/06/2025,63,0
21/06/2025,59,0
22/06/2025,65,0
23/06/2025,81,0
24/06/2025,81,0
25/06/2025,74,0
26/06/2025,68,0
27/06/2025,47,0
28/06/2025,49,0
29/06/2025,74,0
30/06/2025,82,0
01/07/2025,86,0
02/07/2025,79,0
03/07/2025,62,0
04/07/2025,61,0
05/07/2025,55,0
06/07/2025,73,0
07/07/2025,79,0
08/07/2025,79,0
09/07/2025,81,0
10/07/2025,68,0
11/07/2025,78,1
12/07/2025,55,0
13/07/2025,76,0
14/07/2025,92,0
15/07/2025,83,0
16/07/2025,77,0
17/07/2025,57,0
18/07/2025,74,0
19/07/2025,66,0
20/07/2025,81,0
21/07/2025,90,0
22/07/2025,94,0
23/07/2025,83,0
24/07/2025,65,0
25/07/2025,64,0
26/07/2025,65,0
27/07/2025,84,0
28/07/2025,83,0
29/07/2025,86,0
30/07/2025,85,0
31/07/2025,76,0
01/08/2025,62,0
02/08/2025,61,0
03/08/2025,77,0
04/08/2025,86,0
05/08/2025,102,0
06/08/2025,87,0
07/08/2025,77,0
08/08/2025,64,0
09/08/2025,63,0
10/08/2025,86,0
11/08/2025,100,0
12/08/2025,96,0
13/08/2025,83,0
14/08/2025,77,0
15/08/2025,62,0
16/08/2025,73,0
17/08/2025,76,0
18/08/2025,86,0
19/08/2025,130,1
20/08/2025,87,0
21/08/2025,84,0
22/08/2025,64,0
23/08/2025,70,0
24/08/2025,75,0
25/08/2025,82,0
26/08/2025,85,0
27/08/2025,89,0
28/08/2025,67,0
29/08/2025,74,0
30/08/2025,80,0
31/08/2025,82,0
01/09/2025,105,0
02/09/2025,98,0
03/09/2025,95,0
04/09/2025,74,0
05/09/2025,74,0
06/09/2025,67,0
07/09/2025,89,0
08/09/2025,94,0
09/09/2025,98,0
10/09/2025,93,0
11/09/2025,78,0
12/09/2025,70,0
13/09/2025,79,0
14/09/2025,92,0
15/09/2025,90,0
16/09/2025,103,0
17/09/2025,95,0
18/09/2025,74,0
19/09/2025,74,0
20/09/2025,68,0
21/09/2025,97,0
22/09/2025,98,0
23/09/2025,101,0
24/09/2025,100,0
25/09/2025,79,0
26/09/2025,77,0
27/09/2025,71,0
28/09/2025,87,0
29/09/2025,93,0
30/09/2025,102,0
01/10/2025,100,0
02/10/2025,83,0
03/10/2025,80,0
04/10/2025,73,0
05/10/2025,86,0
06/10/2025,100,0
07/10/2025,108,0
08/10/2025,98,0
09/10/2025,83,0
10/10/2025,80,0
11/10/2025,80,0
12/10/2025,93,0
13/10/2025,112,0
14/10/2025,103,0
15/10/2025,98,0
16/10/2025,94,0
17/10/2025,78,0
18/10/2025,86,0
19/10/2025,91,0
20/10/2025,117,0
21/10/2025,94,0
22/10/2025,92,0
23/10/2025,114,1
24/10/2025,88,0
25/10/2025,85,0
26/10/2025,94,0
27/10/2025,99,0
28/10/2025,111,0
29/10/2025,100,0
30/10/2025,83,0
31/10/2025,71,0
01/11/2025,78,0
02/11/2025,98,0
03/11/2025,110,0
04/11/2025,110,0
05/11/2025,134,1
06/11/2025,77,0
07/11/2025,81,0
08/11/2025,79,0
09/11/2025,98,0
10/11/2025,112,0
11/11/2025,106,0
12/11/2025,95,0
13/11/2025,95,0
14/11/2025,84,0
15/11/2025,82,0
16/11/2025,80,0
17/11/2025,109,0
18/11/2025,115,0
19/11/2025,109,0
20/11/2025,85,0
21/11/2025,79,0
22/11/2025,84,0
23/11/2025,104,0
24/11/2025,103,0
25/11/2025,111,0
26/11/2025,133,1
27/11/2025,92,0
28/11/2025,74,0
29/11/2025,90,0
30/11/2025,97,0
01/12/2025,110,0
02/12/2025,116,0
03/12/2025,110,0
04/12/2025,80,0
05/12/2025,90,0
06/12/2025,91,0
07/12/2025,98,0
08/12/2025,120,0
09/12/2025,114,0
10/12/2025,112,0
11/12/2025,87,0
12/12/2025,79,0
13/12/2025,96,0
14/12/2025,113,0
15/12/2025,115,0
16/12/2025,119,0
17/12/2025,101,0
18/12/2025,83,0
19/12/2025,83,0
20/12/2025,97,0
21/12/2025,89,0
22/12/2025,109,0
23/12/2025,102,0
24/12/2025,105,0
25/12/2025,97,0
26/12/2025,77,0
27/12/2025,86,0
28/12/2025,109,0
29/12/2025,111,0
30/12/2025,106,0
31/12/2025,96,0
